Саакашвили Михаил Николозович; 21.12.1967; [[Президент Грузии]];; [[Единое национальное движение]]
Святополк Владимирович Окаянный; ок. [[979]]; [[Великие князья Киевские;;
Тимошенко Юлия Владимировна; 27.11.1960; [[премьер-министр Украины]]; {{UKR}}; [[Блок Юлии Тимошенко]], [[Всеукраинское объединение «Батькивщина»]]
Рогозин Дмитрий Олегович; 21.12.1963; [[Заместитель председателя Правительства Российской Федерации]]; {{USSR}} → {{RUS}}; [[Народная партия Российской Федерации
Грушевский Михаил Сергеевич; 29.9.1866; Председатель Центральной Рады Украинской Народной Республики;;
Лужков Юрий Михайлович; 21.09.1936; [[Мэр Москвы]];; 1) [[КПСС]] (1968—1991)<br />2) [[Отечество — Вся Россия (блок)
Сердюков Анатолий Эдуардович; 8.1.1962; [[Министерство обороны Российской Федерации;;
Примаков Евгений Максимович; 29.10.1929; Директор [[Центральная служба разведки СССР;; [[Коммунистическая партия Советского Союза
Гукасян Аркадий Аршавирович; 22.6.1957 ; [[Президент Нагорно-Карабахской Республики]] ;;  
Лацис Вилис Тенисович; 12.05.1904 ; Председатель Совета Министров (Совета Народных Комиссаров) Латвийской ССР;; [[КПСС]]
Внутренняя политика Украины;;;;
Кинах Анатолий Кириллович; 4.8.1954; [[Премьер-министр Украины]];;
Рыбачук Олег Борисович; 22.04.1958 ; Государственный секретарь Украины ;;  
Томенко Николай Владимирович; 11.12.1964; [[Заместитель Председателя Верховной Рады Украины]];; [[Всеукраинское объединение «Батькивщина»]]
Бессмертный Роман Петрович; 15.11.1965 ; Чрезвычайный и Полномочный Посол Украины в Республике Беларусь ; {{UKR}} ; беспартийный 
Тарасюк Борис Иванович; 1.1.1949; [[Министр иностранных дел Украины]];; [[Всеукраинское объединение «Батькивщина»]]
Гриценко Анатолий Степанович; 25.10.1957; [[Народный депутат Украины]] VI, VII созывов;; беспартийный
Луценко Юрий Витальевич; 14.12.1964; [[Министр внутренних дел Украины]]; {{UKR}}; 1) [[Социалистическая партия Украины
Терёхин Сергей Анатольевич; 29.9.1963; 13-й [[Министр экономики Украины]];; 1) [[Реформы и порядок]] (1997–2005) <br />2) [[Всеукраинское объединение «Батькивщина»]] (с 2011)
Пинзеник Виктор Михайлович; 15.4.1954; [[Министр финансов Украины]]; {{Флагификация; [[Реформы и порядок]] (1997–2010)
Жвания Давид Важаевич; 20.7.1967; Глава Комитета Верховной Рады Украины по вопросам государственного строительства и местного самоуправления <ref>[http://zakon2.rada.gov.ua/laws/show/11-18 Про комітети Верховної Ради України сьомого скликання; Верховна Рада України; Постанова від 25.12.2012 № 11-VII] </ref>;;
Внешняя политика Украины;;;;
Скотти Людвиг Дерангадаге; 20.06.1948 ; [[Премьер-министр Науру]] ;;
Государственное устройство Израиля;;;;
Эйзенхауэр Дуайт Дэвид; 14.10.1890; [[Президент США]]     ;; [[Республиканская партия США]]
Листьев Владислав Николаевич; 10.05.1956; 1-й генеральный директор [[Первый канал (Россия);;
Айкуни Гурген Саркисович; 1889 ; Народный комиссар по делам национальностей [[Северо-Кавказская Советская Республика;;
